Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.33uF","C_0805_2012Metric",127.736600,-64.719200,270.000000,top
"C2","0.1uF","C_0805_2012Metric",130.683000,-64.770000,90.000000,top
"D1","MRA4007T3G","D_SMA",128.270000,-58.420000,180.000000,top
"U1","L293DD","SO-20_12.8x7.5mm_P1.27mm",64.795400,-65.862200,0.000000,top
"U2","L78L05_SOT89","SOT-89-3",129.159000,-70.231000,270.000000,top
